date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ,CVX,RIO,NUE,LWAY,TSN,NTR,ADM,HYG,SRLN,EWH,GBTC,USO,DIA,QQQ,IWM,IEF,FXB,FXE
2021-04-29 06:30:00,420.32,420.72,419.49,419.57,70662.86,420.061,40691,,,,419.57,,419.45,419.61,415.79,420.76,164.62,44.1,53.3,107.4,87.6,82.79,4.93,77.39,56.84,63.32,87.41,45.91,27.82,44.45,44.35,339.36,340.5,229.31,113.48,134.63,113.37
2021-04-29 07:00:00,419.56,419.57,418.67,418.92,53636.95,419.169,32571,,,,419.2895,0.0,418.84,419.11,415.79,420.76,165.06,44.5,53.6,106.61,87.48,81.26,4.93,77.78,56.57,63.86,87.4,45.89,27.81,44.475,44.1,338.65,339.95,228.53,113.57,134.59,113.45
2021-04-29 07:30:00,418.93,418.97,417.54,418.27,58199.38,418.171,34879,,,,418.9644,0.0,418.2,418.44,415.79,420.76,165.66,44.7,53.75,106.36,87.11,81.26,5.0,77.39,56.26,63.66,87.43,45.89,27.76,44.14,44.2,338.1,339.53,228.42,113.66,134.59,113.42
2021-04-29 08:00:00,418.26,418.87,418.08,418.46,28688.58,418.526,16279,,,,418.8959,2.1991,418.44,418.74,415.79,420.76,165.61,44.6,53.75,106.33,87.21,81.53,5.0639,77.15,56.18,63.83,87.47,45.89,27.75,44.44,44.11,338.54,339.52,228.29,113.68,134.65,113.47
2021-04-29 08:30:00,418.48,418.49,417.38,417.55,33390.01,418.024,19145,,,,418.7121,1.9751,417.44,417.6,415.79,420.76,165.49,45.7,54.5,106.29,86.95,81.38,5.0639,77.06,55.81,63.66,87.41,45.89,27.73,44.23,44.08,338.3,337.98,227.3,113.72,134.6,113.39
2021-04-29 09:00:00,417.54,417.63,416.44,417.14,55298.51,416.943,30573,,,,418.4222,1.882,416.44,417.27,415.79,420.76,165.55,45.8,54.65,106.03,86.72,81.2,5.075,76.95,55.67,63.48,87.37,45.89,27.73,44.04,43.95,338.22,337.66,226.24,113.75,134.59,113.45
2021-04-29 09:30:00,417.14,418.25,416.86,418.12,26652.13,417.705,14987,,,,418.3976,12.4917,417.94,418.2,415.79,420.76,165.65,44.8,54.3,106.8,86.86,81.36,5.075,77.07,55.92,63.32,87.4,45.89,27.77,43.48,44.22,339.12,338.49,226.92,113.75,134.59,113.45
2021-04-29 10:00:00,418.12,418.53,417.78,418.47,23665.76,418.26,13511,,,,418.4025,15.9858,418.44,418.74,415.79,420.76,165.63,44.2,54.0,106.8,87.09,81.58,5.12,77.03,55.84,62.88,87.42,45.89,27.78,43.34,44.21,339.32,339.06,226.92,113.8,134.56,113.45
2021-04-29 10:30:00,418.48,418.81,418.13,418.62,21852.14,418.531,13215,,,,418.4152,17.506,418.44,418.74,415.79,420.76,165.59,43.9,53.85,106.64,87.02,81.89,5.14,76.92,55.88,63.11,87.39,45.9,27.76,42.95,44.18,339.28,339.43,226.7,113.79,134.56,113.48
2021-04-29 11:00:00,418.6,419.39,418.55,419.29,23160.95,419.019,14144,,,,418.4665,24.1115,419.29,419.32,415.79,420.76,165.66,43.7,53.65,106.92,87.22,82.13,5.06,77.06,55.98,63.24,87.44,45.9,27.79,43.045,44.32,340.01,339.78,227.61,113.82,134.49,113.44
2021-04-29 11:30:00,419.29,420.49,419.29,420.01,49643.77,419.969,24541,,,,418.6387,30.5474,419.99,420.08,415.79,420.76,166.11,43.8,53.25,107.12,87.35,82.31,5.06,77.32,56.22,63.34,87.45,45.91,27.81,43.05,44.36,340.4,340.51,228.21,113.87,134.49,113.44
2021-04-29 12:00:00,420.02,420.45,419.57,419.58,43198.81,420.057,22502,,,,418.7221,28.9674,419.45,419.61,415.79,420.76,166.09,44.0,53.5,106.59,87.34,82.14,5.06,77.19,56.06,63.37,87.42,45.9,27.79,43.0,44.31,340.28,340.02,227.17,113.89,134.58,113.53
2021-04-29 12:30:00,419.58,420.29,419.51,420.0,90295.83,419.886,39717,,,,418.9216,32.6327,419.99,420.08,415.79,420.76,166.26,43.7,53.4,106.9,87.53,82.43,5.13,77.3,56.18,63.56,87.46,45.88,27.88,43.0,44.25,340.63,340.21,228.04,113.89,134.57,113.56
2021-04-30 06:30:00,417.64,418.5,417.4,418.47,49908.78,417.967,29162,,,,418.8857,27.1389,418.44,418.74,415.79,420.76,165.68,44.5,53.95,105.11,86.7,83.24,5.08,77.5,55.85,63.09,87.47,45.89,27.3,45.98,43.36,339.55,339.05,227.15,113.83,134.02,113.05
2021-04-30 07:00:00,418.47,418.54,417.62,418.48,37883.27,418.05,22438,,,,418.8626,27.2252,418.44,418.74,415.79,420.76,165.77,44.3,53.55,104.27,86.35,83.03,5.08,77.34,55.64,63.06,87.49,45.9,27.29,45.85,43.37,339.23,339.99,227.41,113.91,134.02,113.05
2021-04-30 07:30:00,418.48,418.48,417.33,417.48,41477.07,417.758,24878,,,,418.7816,24.1473,417.44,417.6,415.79,420.76,165.84,44.9,54.05,103.7,85.93,82.38,5.08,77.0,55.15,62.9,87.42,45.88,27.28,45.77,43.27,338.48,338.83,226.01,113.91,133.71,112.74
2021-04-30 08:00:00,417.48,417.62,416.83,416.93,53229.91,417.204,29299,,,,418.6521,22.6319,416.44,417.27,415.79,420.76,165.58,46.0,54.45,103.75,85.55,82.44,5.08,77.07,55.02,62.97,87.41,45.9,27.27,46.675,43.2,338.04,338.09,226.1,113.93,133.38,112.63
2021-04-30 08:30:00,416.93,417.76,416.71,417.64,35408.52,417.319,19764,,,,418.607,28.8404,417.63,417.89,415.79,420.76,165.52,45.1,54.0,103.63,85.59,82.08,5.08,77.17,55.21,63.09,87.45,45.91,27.28,46.82,43.2,338.49,339.02,226.21,113.95,133.38,112.64
2021-04-30 09:00:00,417.63,417.89,417.43,417.69,17876.28,417.678,10651,,,,418.5869,29.2709,417.63,417.89,415.79,420.76,165.49,45.0,54.05,103.7,85.72,82.19,4.96,77.14,55.35,63.19,87.46,45.9,27.29,46.8499,43.33,338.51,338.92,226.12,113.94,133.44,112.66
2021-04-30 09:30:00,417.69,417.81,417.1,417.47,18231.33,417.44,10979,418.408,420.2192,416.5968,418.5624,28.4552,417.44,417.6,415.79,420.76,165.59,45.4,54.2,103.75,85.71,82.32,4.96,77.29,55.6,63.02,87.47,45.9,27.28,46.37,43.4,338.53,338.62,226.03,113.99,133.44,112.64
2021-04-30 10:00:00,417.46,417.75,417.24,417.73,16516.88,417.461,10111,418.316,420.0677,416.5643,418.5462,30.9056,417.63,417.89,415.79,420.76,165.66,45.2,54.15,103.74,85.65,82.43,4.96,77.37,55.66,63.03,87.47,45.91,27.29,46.45,43.4,338.96,338.71,225.88,114.0,133.35,112.59
2021-04-30 10:30:00,417.73,417.9,416.38,416.67,34492.4,417.146,19441,418.2035,420.0708,416.3362,418.473,26.8657,416.44,417.27,415.79,420.76,165.78,46.5,54.75,103.53,85.45,82.34,4.96,77.3,55.42,62.99,87.44,45.91,27.26,46.5,43.33,338.28,337.36,224.68,113.98,133.35,112.55
2021-04-30 11:00:00,416.66,417.35,416.49,417.26,37696.83,416.893,21694,418.153,420.0645,416.2415,418.4233,32.1797,416.44,417.27,415.79,420.76,165.72,45.8,54.5,103.38,85.49,82.3,5.0,77.32,55.45,62.95,87.44,45.91,27.26,46.57,43.3,338.79,337.92,224.86,113.93,133.32,112.6
2021-04-30 11:30:00,417.27,417.48,417.0,417.06,27089.16,417.233,16093,418.083,420.0462,416.1198,418.3844,31.3482,416.44,417.27,415.79,420.76,165.65,46.2,54.55,103.42,85.34,81.96,5.0,77.41,55.38,63.0,87.45,45.91,27.23,46.7,43.35,338.54,337.81,224.69,113.96,133.32,112.58
2021-04-30 12:00:00,417.06,417.53,416.57,417.49,48450.32,417.001,28670,418.08,420.0466,416.1134,418.3409,35.2238,417.44,417.6,415.79,420.76,165.56,46.2,54.4,103.52,85.35,82.5,4.8267,77.5,55.34,63.06,87.46,45.91,27.24,46.905,43.32,338.96,338.12,225.01,113.94,133.32,112.53
2021-04-30 12:30:00,417.48,417.57,416.34,417.3,169635.45,416.938,74153,418.088,420.0405,416.1355,418.1895,34.3023,417.27,417.44,415.79,420.76,165.67,46.3,54.5,103.05,85.08,82.26,4.86,77.45,55.24,63.14,87.44,45.9,27.27,46.85,43.27,338.92,337.89,224.91,114.0,133.29,112.58
2021-05-03 06:30:00,419.43,419.84,418.62,419.49,55622.39,419.298,33314,418.1565,420.2026,416.1104,418.2487,50.4065,419.45,419.61,415.79,420.76,167.85,44.6,54.35,104.64,86.38,84.72,4.925,78.54,55.89,64.48,87.25,45.81,26.99,47.35,43.82,341.98,338.24,226.4,114.01,134.1,112.88
2021-05-03 07:00:00,419.48,419.74,418.87,419.35,42044.61,419.299,28312,418.2005,420.3086,416.0924,418.2853,49.57,419.32,419.41,415.79,420.76,168.18,44.5,53.8,104.03,86.0,83.17,4.88,78.52,55.75,64.02,87.27,45.82,27.01,47.76,43.79,341.47,339.46,225.69,114.32,134.33,113.0
2021-05-03 07:30:00,419.35,419.74,418.59,418.8,31479.95,419.148,21524,418.2095,420.3262,416.0928,418.2978,46.3179,418.74,418.84,415.79,420.76,168.08,44.6,54.65,104.48,86.17,83.69,4.9599,78.65,55.97,64.49,87.25,45.82,27.03,47.64,44.05,341.64,337.58,225.32,114.22,134.37,113.03
2021-05-03 08:00:00,418.79,418.8,418.17,418.23,33939.83,418.48,22605,418.1565,420.2146,416.0984,418.2961,43.1578,418.2,418.44,415.79,420.76,167.9,45.1,55.4,104.63,86.59,84.12,4.9741,78.54,56.09,64.71,87.2,45.8,27.02,47.365,44.02,341.81,335.98,225.5,114.07,134.32,112.99
2021-05-03 08:30:00,418.23,418.96,418.14,418.81,26067.68,418.678,15637,418.0965,419.999,416.194,418.306,47.1119,418.74,418.84,415.79,420.76,167.91,44.6,55.1,104.51,86.79,84.47,4.99,78.92,56.04,64.82,87.25,45.8,27.07,47.1601,43.79,341.85,336.74,225.94,114.05,134.26,112.91
2021-05-03 09:00:00,418.81,418.82,418.34,418.43,14080.31,418.579,9007,418.039,419.8246,416.2534,418.3073,44.9078,418.2,418.44,415.79,420.76,167.99,44.8,55.35,105.21,86.8,85.04,4.955,78.67,56.19,64.76,87.23,45.79,27.11,47.705,43.96,341.57,336.26,226.61,114.06,134.26,112.86
2021-05-03 09:30:00,418.41,418.56,418.18,418.47,18616.11,418.355,11444,417.9625,419.5223,416.4027,418.3095,45.1984,418.44,418.74,415.79,420.76,167.93,44.9,55.35,105.07,86.78,85.17,4.955,78.87,56.06,64.69,87.23,45.79,27.12,47.915,43.8,341.65,336.18,226.22,114.07,134.26,112.84
2021-05-03 10:00:00,418.48,418.71,418.26,418.35,13656.57,418.496,8862,417.9565,419.5094,416.4036,418.3099,44.441,418.2,418.44,415.79,420.76,167.83,44.7,55.45,105.01,86.66,85.28,4.87,78.9,56.06,64.77,87.22,45.77,27.13,47.97,43.93,341.48,335.93,226.42,114.13,134.26,112.89
2021-05-03 10:30:00,418.35,418.64,418.28,418.57,12543.9,418.478,7258,417.961,419.5204,416.4016,418.3122,46.2204,418.44,418.74,415.79,420.76,167.85,44.6,55.3,105.1,86.94,85.72,4.87,78.88,56.16,64.69,87.24,45.77,27.14,48.035,44.02,341.46,336.28,226.52,114.11,134.26,112.92
2021-05-03 11:00:00,418.57,418.98,418.57,418.94,19426.6,418.756,11676,418.034,419.6327,416.4353,418.3207,49.169,418.84,419.11,415.79,420.76,167.85,44.1,55.1,105.18,87.09,86.27,4.8729,78.73,56.23,64.67,87.26,45.77,27.16,47.77,44.01,341.65,336.65,226.66,114.07,134.26,112.97
2021-05-03 11:30:00,418.93,419.27,418.92,419.12,26001.98,419.102,14805,418.1435,419.7247,416.5623,418.3349,50.5883,419.11,419.2,415.79,420.76,167.89,44.0,55.1,105.51,87.31,86.48,4.8729,78.92,56.33,64.8,87.29,45.75,27.21,47.94,43.99,341.74,336.72,227.02,114.11,134.23,112.97
