,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
0,2021-10-14 06:30:00,439.08,439.45,439.06,439.18,7368,439.228,2731,,,,439.18,,439.03,439.28,436.12,443.22,168.2,18.88,8.2
1,2021-10-14 06:31:00,439.18,439.31,439.06,439.19,3424,439.207,1761,,,,439.1832,100.0,439.03,439.28,436.12,443.22,168.16,18.84,8.19
2,2021-10-14 06:32:00,439.19,439.28,439.06,439.28,2670,439.158,1635,,,,439.2024,100.0,439.28,439.33,436.12,443.22,168.04,18.72,8.19
3,2021-10-14 06:33:00,439.26,439.33,438.99,439.05,2638,439.091,1552,,,,439.1774,47.0395,439.03,439.28,436.12,443.22,168.08,18.78,8.21
4,2021-10-14 06:34:00,439.05,439.11,438.85,438.85,2782,439.004,1792,,,,439.1292,31.4445,435.0,439.03,436.12,443.22,168.0,18.84,8.21
5,2021-10-14 06:35:00,438.85,438.93,438.68,438.78,3874,438.81,2200,,,,439.0697,27.9517,435.0,439.03,436.12,443.22,168.04,18.89,8.2
6,2021-10-14 06:36:00,438.75,439.0,438.68,438.92,2260,438.849,1306,,,,439.0562,41.8613,435.0,439.03,436.12,443.22,167.95,18.89,8.21
7,2021-10-14 06:37:00,438.92,439.03,438.71,438.81,1992,438.88,1296,,,,439.038,35.9832,435.0,439.03,436.12,443.22,167.98,18.91,8.21
8,2021-10-14 06:38:00,438.81,438.91,438.74,438.79,2273,438.842,1312,,,,439.0188,35.0203,435.0,439.03,436.12,443.22,167.95,18.9,8.19
9,2021-10-14 06:39:00,438.79,438.88,438.58,438.66,1526,438.707,930,,,,439.001,29.4954,435.0,439.03,436.12,443.22,167.82,18.92,8.19
10,2021-10-14 06:40:00,438.66,438.99,438.64,438.97,2490,438.864,1479,,,,438.9987,49.8238,435.0,439.03,436.12,443.22,167.96,18.87,8.15
11,2021-10-14 06:41:00,438.96,439.38,438.91,439.18,9532,439.068,2206,,,,439.039,58.5439,439.03,439.28,436.12,443.22,167.87,18.82,8.16
12,2021-10-14 06:42:00,439.17,439.41,439.14,439.39,2854,439.271,1565,,,,439.061,65.0795,439.33,439.86,436.12,443.22,167.89,18.82,8.15
