date,open,high,low,close,volume,average,barCount,GLD,UVXY,SQQQ,CVX,RIO,NUE,LWAY,TSN,NTR,ADM,HYG,SRLN,JNK,EWH,GBTC,USO,DIA,QQQ,IWM,IEF,SIVR,FXB,FXE,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres
2018-05-21,272.97,273.98,272.6,273.37,382704.2,273.33,159851,122.48,559.5,1538.0,129.37,59.16,65.18,5.81,67.89,52.11,45.17,85.52,47.31,107.1107,26.44,13.61,117.36,249.94,168.4,162.94,100.82,16.08,130.35,113.2,,,,273.37,,273.09,273.44,273.09,273.44
2018-05-22,273.96,274.25,272.24,272.61,393593.76,273.329,146672,122.41,568.5,1545.0,128.23,58.96,65.05,5.42,67.88,51.06,44.91,85.58,47.31,107.1707,26.42,13.08,116.48,248.18,168.18,161.76,100.78,16.12,130.41,113.15,,,,272.9847,0.0,272.42,272.99,272.42,272.99
2018-05-23,271.18,273.39,270.99,273.36,451197.86,272.0925,183288,122.54,553.0,1506.0,128.7,57.76,64.22,5.48,69.05,51.38,44.8,85.65,47.29,107.2307,26.12,12.22,116.08,248.63,169.6,161.97,101.24,16.03,129.65,112.41,,,,273.1226,7.0555,273.09,273.44,273.09,273.44
2018-05-24,272.92,273.22,270.78,272.8,514521.04,272.315,213642,123.59,548.5,1509.0,126.61,57.6,64.61,5.22,69.38,51.14,44.81,85.7,47.27,107.2607,26.03,12.24,114.32,247.91,169.55,162.03,101.5,16.23,129.91,112.58,,,,273.0273,6.6767,272.42,272.99,272.42,272.99
2018-05-25,272.18,272.86,271.58,272.15,355152.01,272.2045,143704,123.21,559.0,1505.0,122.19,56.98,63.97,5.18,69.59,50.7,44.55,85.56,47.26,107.1107,26.07,12.15,109.44,247.37,169.72,161.74,101.9,16.07,129.26,111.99,,,,272.8788,6.2568,272.02,272.42,272.02,272.42
2018-05-29,270.31,271.17,267.76,269.02,804370.73,269.13,332937,123.19,660.5,1524.0,121.39,55.82,62.72,5.01,70.39,50.07,43.79,85.2,47.28,106.6307,25.79,12.15,108.08,243.45,168.97,161.52,103.0,15.97,128.62,110.77,,,,271.809,4.7181,269.0,270.36,269.0,270.36
2018-05-30,270.53,273.11,270.42,272.61,522321.29,272.054,212101,123.37,612.5,1491.0,125.16,56.71,64.1,5.24,70.52,51.1,44.28,85.46,47.29,107.0207,25.87,11.96,110.64,246.7,170.18,164.08,102.56,16.08,128.95,111.97,,,,271.9312,26.918,272.42,272.99,272.42,272.99
2018-05-31,272.16,272.49,270.25,270.94,630688.68,271.294,272828,123.1,625.5,1495.0,124.3,56.7,64.19,5.1,67.47,50.65,43.72,85.38,47.27,106.8707,25.99,12.2799,108.4,244.18,170.07,162.77,102.51,15.99,129.04,112.24,,,,271.777,24.1045,270.36,272.02,270.36,272.02
2018-06-01,272.4,273.94,272.33,273.6,477909.24,273.2585,202628,122.49,585.5,1425.0,123.85,57.54,65.8,5.29,68.09,50.76,43.82,85.19,47.11,106.5407,26.0,12.1,106.0,246.36,172.74,163.84,101.93,15.96,129.54,111.89,,,,271.9693,35.6429,273.44,277.48,273.44,277.48
2018-06-04,274.52,275.19,274.26,274.9,340840.22,274.8025,143756,122.37,549.5,1388.0,122.26,57.66,65.63,5.16,68.6,50.4,44.09,85.37,47.13,106.8407,26.13,11.98,104.96,248.2,174.3,164.71,101.57,15.98,129.21,112.3,,,,272.1742,40.411,273.44,277.48,273.44,277.48
2018-06-05,275.04,275.53,274.18,275.1,360596.16,274.9945,147692,122.85,540.0,1376.0,122.73,58.53,66.28,5.74,69.11,50.59,44.23,85.47,47.16,107.0507,26.27,12.43,105.76,248.15,174.84,165.73,101.83,16.05,129.99,112.46,,,,272.3758,41.1336,273.44,277.48,273.44,277.48
2018-06-06,275.81,277.52,275.09,277.4,426901.27,276.3735,187293,122.92,508.5,1350.0,123.38,60.67,67.27,5.79,68.2,52.67,44.79,85.68,47.17,107.2007,26.52,12.45,105.28,251.52,175.86,166.93,101.42,16.24,130.17,113.01,,,,272.7547,48.8197,273.44,277.48,273.44,277.48
2018-06-07,277.95,278.28,276.34,277.37,520013.46,277.291,225646,122.86,519.5,1382.0,126.96,59.64,66.41,6.07,69.71,52.5,44.69,85.71,47.19,107.2607,26.36,12.86,106.8,252.53,174.43,166.02,101.85,16.26,130.28,113.26,,,,273.143,48.7303,273.44,277.48,273.44,277.48
2018-06-08,276.85,278.25,276.66,278.19,437145.22,277.5545,176878,123.01,514.5,1383.0,126.44,59.22,66.85,6.48,70.75,52.67,44.85,85.66,47.19,107.2607,26.23,12.7,106.16,253.27,174.44,166.52,101.71,16.33,130.14,112.96,,,,273.4764,51.3519,277.48,279.16,277.48,279.16
2018-06-11,278.44,279.37,278.31,278.56,364884.51,278.8685,157114,123.23,502.5,1373.0,127.56,59.1,67.08,6.02,71.99,52.73,45.51,85.82,47.21,107.4407,26.26,11.7,106.88,253.39,174.91,166.77,101.61,16.48,129.905,113.12,,,,273.742,52.5314,277.48,279.16,277.48,279.16
2018-06-12,279.03,279.33,278.19,278.92,460668.07,278.8415,159824,122.82,501.5,1352.0,127.08,58.77,67.07,6.18,71.48,52.69,45.1,85.89,47.21,107.5608,26.1,11.29,107.2,253.3,175.83,167.53,101.55,16.41,129.8,112.81,,,,274.0625,53.7074,277.48,279.16,277.48,279.16
2018-06-13,279.17,279.48,277.8,278.03,506345.2,278.7745,208997,123.19,510.5,1354.0,127.07,58.73,66.77,6.26,70.44,53.55,45.28,85.92,47.2,107.5608,25.86,10.6,107.76,252.18,175.82,166.87,101.43,16.62,129.88,113.17,,,,274.3152,50.3841,277.48,279.16,277.48,279.16
2018-06-14,279.01,279.33,278.05,278.73,447774.01,278.7235,183370,123.38,487.5,1312.0,126.51,58.5,68.53,6.07,70.99,53.73,45.24,86.17,47.22,107.8908,25.75,11.53,108.16,251.99,177.6,167.76,101.75,16.74,128.88,111.19,,,,274.5506,52.855,277.48,279.16,277.48,279.16
2018-06-15,276.6,277.51,275.35,277.13,594944.69,276.5785,243084,121.34,492.5,1325.0,124.04,56.79,66.85,6.06,71.81,53.55,46.03,86.12,47.2,107.8608,25.69,10.95,104.4,250.74,176.98,167.81,101.83,16.14,128.86,111.47,,,,274.7212,47.0831,273.44,277.48,273.44,277.48
2018-06-18,275.49,276.7,274.95,276.56,372403.49,276.0535,166963,121.11,483.0,1328.0,125.97,57.06,66.75,6.11,71.0,53.48,46.19,86.11,47.19,107.8008,25.51,11.05,106.32,249.73,176.5,168.6,101.88,16.05,128.52,111.5,275.0675,280.7863,269.3487,274.7944,45.1899,273.44,277.48,273.44,277.48
