,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location,BASIC_COLOUR,BODY_TYPE,CC_RATING,MAKE,ORIGINAL_COUNTRY,VEHICLE_TYPE,VEHICLE_YEAR
0,SILVER,TRAILER,BST2021D,2021,TRAILER,5/11/2021,WAITEMATA,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2021
1,SILVER,TRAILER,OUTBACK BOATS FT470,2021,BOAT TRAILER,13/12/2021,EASTERN,SILVER,BOAT TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2022
2,SILVER,TRAILER,ASD JETSKI,2021,BOAT TRAILER,13/02/2022,AUCKLAND CITY,SILVER,BOAT TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2009
3,SILVER,TRAILER,MSC 7X4,2021,TRAILER,13/11/2021,CENTRAL,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2021
4,SILVER,TRAILER,D-MAX 8X5,2018,TRAILER,10/01/2022,WAITEMATA,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2015
5,BLACK,YAMAHA,YZF-R6T,2005,ROADBIKE,31/12/2021,COUNTIES/MANUKAU,RED,MOTORCYCLE,600,YAMAHA,JAPAN,MOTORCYCLE,2005
6,SILVER,TRAILER,CAAR TRANSPORTER,2021,TRAILER,12/11/2021,CANTERBURY,SILVER,FLAT-DECK TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2021
7,SILVER,TRAILER,BOAT,2001,BOAT TRAILER,22/02/2022,WELLINGTON,SILVER,BOAT TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1965
8,SILVER,BRIFORD,"7X4'6"" 1000KG",2021,TRAILER,25/02/2022,SOUTHERN,SILVER,DOMESTIC TRAILER,0,BRIFORD,NEW ZEALAND,TRAILER/CARAVAN,2021
9,SILVER,BRIFORD,8X4 TANDEM,2020,TRAILER,3/01/2022,CANTERBURY,YELLOW,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1985
10,SILVER,TRAILER,HOMEBUILT,2018,TRAILER,15/10/2021,CENTRAL,RED,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1981
11,SILVER,FACTORY BUILT,BRENT SMITH TRAILERS,2018,TRAILER,28/02/2022,WAITEMATA,SILVER,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1990
12,BLACK,VESPA,ET2,2004,MOPED,19/12/2021,AUCKLAND CITY,BLACK,MOTORCYCLE,49,VESPA,ITALY,MOPED,2002
13,BLUE,HONDA,TODAY,2007,MOPED,23/01/2022,AUCKLAND CITY,YELLOW,MOTORCYCLE,49,HONDA,JAPAN,MOPED,2002
14,BLACK,SUZUKI,DL650,2007,ROADBIKE,28/02/2022,NORTHLAND,BLUE,MOTORCYCLE,645,SUZUKI,JAPAN,MOTORCYCLE,2006
15,SILVER,TRAILER,JOBMATE,2021,TRAILER,8/02/2022,WELLINGTON,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2017
16,SILVER,TRAILER,BSTB85B,2021,TRAILER,10/10/2021,AUCKLAND CITY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
17,WHITE,TRAILER,BOAT,2004,BOAT TRAILER,7/10/2021,BAY OF PLENTY,SILVER,BOAT TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1965
18,WHITE,TRAILER,DOMESTIC TRAILER,2014,TRAILER,24/02/2022,BAY OF PLENTY,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1986
19,SILVER,TRAILER,APS SEADOO,2018,BOAT TRAILER,8/11/2021,CANTERBURY,GREY,BOAT TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2016
20,SILVER,TRIUMPH,THUNDERBIRD,2002,ROADBIKE,11/02/2022,NORTHLAND,SILVER,SALOON,3800,FORD,UNITED STATES,PASSENGER CAR/VAN,1990
21,SILVER,FACTORY BUILT,BRENT SMITH TRAILERS,2000,TRAILER,22/11/2021,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1990
22,SILVER,TRAILER,LOCAL,2015,TRAILER,27/01/2022,CANTERBURY,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
