date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
2018-03-19,273.33,273.38,268.62,270.49,778375.51,270.5,325843,,,,270.49,,270.36,271.3,270.0,383.9,124.87,820.0,1652.0
2018-03-20,270.93,271.67,270.18,270.95,383998.44,270.976,156496,,,,270.642,100.0,270.36,271.3,270.0,383.9,124.31,793.5,1640.0
2018-03-21,270.9,273.27,270.19,270.43,598051.59,271.5165,249203,,,,270.57,92.0,270.36,271.3,270.0,383.9,126.48,779.5,1658.0
2018-03-22,267.91,268.87,263.36,263.67,1049066.71,266.2095,439833,,,,267.9935,43.3962,260.85,266.64,260.0,383.9,125.98,934.0,1780.0
2018-03-23,264.16,265.02,257.83,258.05,1173203.91,261.491,484353,,,,265.0644,29.4612,243.67,259.16,255.0,383.9,127.61,1012.0,1921.0
2018-03-26,262.13,265.43,259.41,265.11,882642.25,262.67,341333,,,,265.0727,50.8241,260.85,266.64,265.0,383.9,128.28,898.5,1707.0
2018-03-27,266.17,266.77,258.84,260.6,1023536.81,263.314,411880,,,,264.2953,42.0608,259.85,260.66,260.0,383.9,127.49,1005.0,1873.0
2018-03-28,260.75,262.64,258.58,259.83,1058542.55,260.4605,437402,,,,263.6149,40.7684,259.16,259.85,255.0,383.9,125.73,1033.5,1936.0
2018-03-29,261.1,265.26,260.28,263.15,829193.99,263.0395,322898,,,,263.5654,48.1644,260.85,266.64,260.0,383.9,125.79,926.5,1833.0
2018-04-02,262.56,263.13,254.67,257.47,1267328.74,257.5335,475846,,,,262.7112,39.1562,243.67,259.16,255.0,383.9,127.26,1059.0,1986.0
2018-04-03,258.87,261.31,256.84,260.77,888565.38,259.158,346545,,,,262.5376,45.5303,260.66,260.85,260.0,383.9,126.3,992.5,1924.0
2018-04-04,256.73,264.36,256.6,263.56,951114.47,260.6975,345908,,,,262.6269,50.2735,260.85,266.64,260.0,383.9,126.45,966.5,1833.0
2018-04-05,265.54,266.64,264.32,265.64,627924.81,265.6445,239495,,,,262.7913,53.5228,260.85,266.64,265.0,383.9,125.8,915.0,1805.0
2018-04-06,263.42,265.11,258.0,259.72,1258559.51,261.1425,443030,,,,262.4886,44.5917,259.16,259.85,255.0,383.9,126.39,996.0,1939.0
2018-04-09,261.38,264.84,260.54,261.0,682486.72,262.704,250777,,,,262.4131,46.664,260.85,266.64,260.0,383.9,126.82,1000.0,1901.0
2018-04-10,264.27,266.04,262.98,265.15,824891.68,264.7435,316496,,,,262.5712,52.8246,260.85,266.64,265.0,383.9,127.12,961.0,1779.0
2018-04-11,263.48,265.64,263.39,263.76,656439.61,264.3005,253605,,,,262.6234,50.7118,260.85,266.64,260.0,383.9,128.11,973.0,1803.0
2018-04-12,265.26,267.0,265.06,265.93,561368.74,266.163,216886,,,,262.7432,53.8173,260.85,266.64,265.0,383.9,126.62,913.0,1743.0
2018-04-13,267.41,267.54,264.01,265.15,645699.0,265.537,238241,,,,262.8395,52.536,260.85,266.64,265.0,383.9,127.45,863.0,1766.0
2018-04-16,267.0,268.2,266.07,267.33,471185.88,267.299,190029,263.888,271.6175,256.1585,262.9669,55.7099,266.98,267.83,265.0,383.9,127.63,797.5,1728.0
2018-04-17,269.34,270.87,268.75,270.19,432323.39,270.0065,176391,263.873,271.5522,256.1938,263.1501,59.5331,269.0,270.36,270.0,383.9,127.75,725.5,1618.0
2018-04-18,270.69,271.3,269.87,270.39,380154.84,270.753,148033,263.845,271.4242,256.2658,263.308,59.7945,270.36,271.3,270.0,383.9,127.85,729.5,1609.0
2018-04-19,269.65,269.88,267.72,268.89,577493.68,268.755,225757,263.768,271.1054,256.4306,263.4871,56.8298,267.83,269.0,265.0,383.9,127.6,746.0,1649.0
2018-04-20,268.81,269.06,265.61,266.61,591318.47,266.9495,223857,263.915,271.3558,256.4742,263.5864,52.5637,260.85,266.64,265.0,383.9,126.63,779.0,1727.0
2018-04-23,267.26,267.89,265.35,266.57,461398.19,266.675,180300,264.341,271.3531,257.3289,263.6587,52.4893,260.85,266.64,265.0,383.9,125.62,766.0,1744.0
2018-04-24,267.72,267.98,261.28,262.98,919338.01,264.0695,341790,264.2345,271.2613,257.2077,263.6274,46.1692,260.85,266.64,260.0,383.9,126.23,823.5,1853.0
2018-04-25,262.91,264.13,260.85,263.63,698692.59,262.5845,270739,264.386,271.2209,257.5511,263.6275,47.404,260.85,266.64,260.0,383.9,125.41,835.5,1846.0
2018-04-26,264.79,267.25,264.29,266.31,501662.27,265.91,197473,264.71,271.2586,258.1614,263.6911,52.266,260.85,266.64,265.0,383.9,124.97,774.5,1734.0
2018-04-27,267.02,267.34,265.5,266.56,427468.72,266.564,162921,264.8805,271.4354,258.3256,263.7478,52.7052,260.85,266.64,265.0,383.9,125.5,751.0,1729.0
2018-04-30,267.24,267.89,264.43,264.51,544099.49,265.867,202661,265.2325,270.8463,259.6187,263.7666,48.7446,260.85,266.64,260.0,383.9,124.59,754.0,1766.0
2018-05-01,263.9,265.1,262.11,264.98,547141.74,263.6225,219878,265.443,270.6744,260.2116,263.7958,49.6783,260.85,266.64,260.0,383.9,123.71,737.5,1709.0
2018-05-02,264.76,265.68,262.76,263.2,575545.29,264.2225,231183,265.425,270.6846,260.1654,263.7811,46.2427,260.85,266.64,260.0,383.9,123.65,728.5,1737.0
2018-05-03,262.26,263.36,259.05,262.62,1004371.03,261.3595,399714,265.274,270.6718,259.8762,263.733,45.1471,260.85,266.64,260.0,383.9,124.28,750.5,1739.0
2018-05-04,261.48,266.79,261.15,266.02,601309.99,265.025,248162,265.589,270.3515,260.8265,263.7883,52.284,260.85,266.64,265.0,383.9,124.54,715.5,1641.0
2018-05-07,266.9,268.02,266.11,266.92,416651.46,267.1665,177417,265.885,270.1831,261.5869,263.8399,53.9905,266.64,266.98,265.0,383.9,124.57,709.5,1601.0
2018-05-08,266.5,267.33,265.15,266.92,495207.87,266.322,193630,265.9735,270.2803,261.6667,263.8991,53.9905,266.64,266.98,265.0,383.9,124.59,706.0,1607.0
2018-05-09,267.68,269.87,267.09,269.5,462376.82,268.6745,186254,266.2605,270.7019,261.8191,263.9977,58.8798,269.0,270.36,265.0,383.9,124.33,663.0,1552.0
2018-05-10,270.35,272.39,270.22,272.02,471916.84,271.5295,190046,266.565,271.6609,261.4691,264.1394,63.0141,272.02,272.42,270.0,383.9,125.18,616.5,1506.0
2018-05-11,272.16,273.15,271.58,272.85,391298.64,272.411,149986,266.95,272.6837,261.2163,264.2651,64.2877,272.42,272.99,270.0,383.9,125.0,601.5,1510.0
2018-05-14,273.34,274.08,272.36,272.98,396567.36,273.136,148490,267.2325,273.5411,260.9239,264.3908,64.4939,272.42,272.99,270.0,383.9,124.49,572.0,1502.0
2018-05-15,271.56,271.61,270.03,271.1,605649.51,270.7365,224024,267.278,273.6837,260.8723,264.5353,59.1723,270.36,271.3,270.0,383.9,122.48,632.5,1552.0
2018-05-16,271.11,272.76,271.1,272.24,357294.99,271.9695,142156,267.3705,274.0027,260.7383,264.632,61.2598,272.02,272.42,270.0,383.9,122.29,598.0,1522.0
